"","studyid","intid","year","spp1","spp2","interaction","taxatype","neg_phenovalue","neg_slope","pos_phenovalue","pos_slope","phenodiff","phenofreq"
"1","EMW001",1,1951,"Acartia tonsa","Mnemiopsis1 leidyi","predation","spp",154.875,0.269528146529995,206.625,-1.43251570048309,-51.75,"daily"
"2","EMW001",1,1972,"Acartia tonsa","Mnemiopsis1 leidyi","predation","spp",176,0.269528146529995,188.458,-1.43251570048309,-12.458,"daily"
"3","EMW001",1,1973,"Acartia tonsa","Mnemiopsis1 leidyi","predation","spp",173.083,0.269528146529995,197.042,-1.43251570048309,-23.959,"daily"
"4","EMW001",1,1976,"Acartia tonsa","Mnemiopsis1 leidyi","predation","spp",178.875,0.269528146529995,207.625,-1.43251570048309,-28.75,"daily"
"5","EMW001",1,1981,"Acartia tonsa","Mnemiopsis1 leidyi","predation","spp",187.458,0.269528146529995,NA,NA,NA,"daily"
"6","EMW001",1,1982,"Acartia tonsa","Mnemiopsis1 leidyi","predation","spp",172.125,0.269528146529995,NA,NA,NA,"daily"
"7","EMW001",1,1983,"Acartia tonsa","Mnemiopsis1 leidyi","predation","spp",177.875,0.269528146529995,226.75,-1.43251570048309,-48.875,"daily"
"8","EMW001",1,2001,"Acartia tonsa","Mnemiopsis1 leidyi","predation","spp",176.917,0.269528146529995,NA,NA,NA,"daily"
"9","EMW001",1,2002,"Acartia tonsa","Mnemiopsis1 leidyi","predation","spp",169.25,0.269528146529995,106.958,-1.43251570048309,62.292,"daily"
"10","EMW001",1,2003,"Acartia tonsa","Mnemiopsis1 leidyi","predation","spp",180.75,0.269528146529995,NA,NA,NA,"daily"
"11","HMK004",19,1982,"Quercus spp.","Tortrix viridana","herbivory","spp",99.6054,0.98111071428564,102.261,0.92995714285708,-2.65559999999999,"daily"
"12","HMK004",19,1983,"Quercus spp.","Tortrix viridana","herbivory","spp",92.7749,0.98111071428564,96.6617,0.92995714285708,-3.88679999999999,"daily"
"13","HMK004",19,1984,"Quercus spp.","Tortrix viridana","herbivory","spp",100.0908,0.98111071428564,105.007,0.92995714285708,-4.9162,"daily"
"14","HMK004",19,1985,"Quercus spp.","Tortrix viridana","herbivory","spp",107.67,0.98111071428564,109.914,0.92995714285708,-2.244,"daily"
"15","HMK004",19,1986,"Quercus spp.","Tortrix viridana","herbivory","spp",92.4126,0.98111071428564,96.7122,0.92995714285708,-4.2996,"daily"
"16","HMK004",19,1987,"Quercus spp.","Tortrix viridana","herbivory","spp",115.786,0.98111071428564,114.949,0.92995714285708,0.837000000000003,"daily"
"17","HMK004",19,1988,"Quercus spp.","Tortrix viridana","herbivory","spp",95.9811,0.98111071428564,101.514,0.92995714285708,-5.5329,"daily"
"18","HMK006",22,1996,"Dendroctonus valens","Corticeus parallelus","predation","spp",139.5,10.5000000000016,103,51.0000000000078,36.5,"weekly"
"19","HMK006",22,1997,"Dendroctonus valens","Corticeus parallelus","predation","spp",150,10.5000000000016,154,51.0000000000078,-4,"weekly"
"20","HMK006",23,1996,"Dendroctonus valens","Enoclerus nigripes","predation","spp",139.5,10.5000000000016,171.5,53.0000000000081,-32,"weekly"
"21","HMK006",23,1997,"Dendroctonus valens","Enoclerus nigripes","predation","spp",150,10.5000000000016,224.5,53.0000000000081,-74.5,"weekly"
"22","HMK006",24,1996,"Dendroctonus valens","Thanasimus dubius","predation","spp",139.5,10.5000000000016,137,-4.00000000000056,2.5,"weekly"
"23","HMK006",24,1997,"Dendroctonus valens","Thanasimus dubius","predation","spp",150,10.5000000000016,133,-4.00000000000056,17,"weekly"
"24","HMK006",25,1996,"Dendroctonus valens","Platysoma cylindrica","predation","spp",139.5,10.5000000000016,139,15.0000000000023,0.5,"weekly"
"25","HMK006",25,1997,"Dendroctonus valens","Platysoma cylindrica","predation","spp",150,10.5000000000016,154,15.0000000000023,-4,"weekly"
"26","HMK006",26,1996,"Dendroctonus valens","Platysoma parallelum","predation","spp",139.5,10.5000000000016,138,18.0000000000028,1.5,"weekly"
"27","HMK006",26,1997,"Dendroctonus valens","Platysoma parallelum","predation","spp",150,10.5000000000016,156,18.0000000000028,-6,"weekly"
"28","HMK006",27,1996,"Dendroctonus valens","Cucujus clavipes","predation","spp",139.5,10.5000000000016,103,61.0000000000093,36.5,"weekly"
"29","HMK006",27,1997,"Dendroctonus valens","Cucujus clavipes","predation","spp",150,10.5000000000016,164,61.0000000000093,-14,"weekly"
"30","HMK006",28,1996,"Dryocetes autographus","Corticeus parallelus","predation","spp",140,16.0000000000025,103,51.0000000000078,37,"weekly"
"31","HMK006",28,1997,"Dryocetes autographus","Corticeus parallelus","predation","spp",156,16.0000000000025,154,51.0000000000078,2,"weekly"
"32","HMK006",29,1996,"Dryocetes autographus","Enoclerus nigripes","predation","spp",140,16.0000000000025,171.5,53.0000000000081,-31.5,"weekly"
"33","HMK006",29,1997,"Dryocetes autographus","Enoclerus nigripes","predation","spp",156,16.0000000000025,224.5,53.0000000000081,-68.5,"weekly"
"34","HMK006",30,1996,"Dryocetes autographus","Platysoma cylindrica","predation","spp",140,16.0000000000025,139,15.0000000000023,1,"weekly"
"35","HMK006",30,1997,"Dryocetes autographus","Platysoma cylindrica","predation","spp",156,16.0000000000025,154,15.0000000000023,2,"weekly"
"36","HMK006",31,1996,"Dryocetes autographus","Platysoma parallelum","predation","spp",140,16.0000000000025,138,18.0000000000028,2,"weekly"
"37","HMK006",31,1997,"Dryocetes autographus","Platysoma parallelum","predation","spp",156,16.0000000000025,156,18.0000000000028,0,"weekly"
"38","HMK006",32,1996,"Dryocetes autographus","Thanasimus dubius","predation","spp",140,16.0000000000025,137,-4.00000000000056,3,"weekly"
"39","HMK006",32,1997,"Dryocetes autographus","Thanasimus dubius","predation","spp",156,16.0000000000025,133,-4.00000000000056,23,"weekly"
"40","HMK006",33,1996,"Dryocetes autographus","Cucujus clavipes","predation","spp",140,16.0000000000025,103,61.0000000000093,37,"weekly"
"41","HMK006",33,1997,"Dryocetes autographus","Cucujus clavipes","predation","spp",156,16.0000000000025,164,61.0000000000093,-8,"weekly"
"42","HMK006",34,1996,"Gnathotrichus materiarius","Platysoma parallelum","predation","spp",132,11.0000000000017,138,18.0000000000028,-6,"weekly"
"43","HMK006",34,1997,"Gnathotrichus materiarius","Platysoma parallelum","predation","spp",143,11.0000000000017,156,18.0000000000028,-13,"weekly"
"44","HMK006",35,1996,"Gnathotrichus materiarius","Cucujus clavipes","predation","spp",132,11.0000000000017,103,61.0000000000093,29,"weekly"
"45","HMK006",35,1997,"Gnathotrichus materiarius","Cucujus clavipes","predation","spp",143,11.0000000000017,164,61.0000000000093,-21,"weekly"
"46","HMK006",36,1996,"Gnathotrichus materiarius","Platysoma cylindrica","predation","spp",132,11.0000000000017,139,15.0000000000023,-7,"weekly"
"47","HMK006",36,1997,"Gnathotrichus materiarius","Platysoma cylindrica","predation","spp",143,11.0000000000017,154,15.0000000000023,-11,"weekly"
