studyid,intid,X,year,spp1,spp2,interaction,taxatype,neg_phenovalue,neg_slope,pos_phenovalue,pos_slope,phenodiff,phenofreq,intxn,length,minyear
EMW001,1,1,1951,Acartia tonsa,Mnemiopsis1 leidyi,predation,spp,154.875,0.269528147,206.625,-1.4325157,-51.75,daily,Acartia tonsa Mnemiopsis1 leidyi predation,6,1951
EMW001,1,2,1972,Acartia tonsa,Mnemiopsis1 leidyi,predation,spp,176,0.269528147,188.458,-1.4325157,-12.458,daily,Acartia tonsa Mnemiopsis1 leidyi predation,6,1951
EMW001,1,3,1973,Acartia tonsa,Mnemiopsis1 leidyi,predation,spp,173.083,0.269528147,197.042,-1.4325157,-23.959,daily,Acartia tonsa Mnemiopsis1 leidyi predation,6,1951
EMW001,1,4,1976,Acartia tonsa,Mnemiopsis1 leidyi,predation,spp,178.875,0.269528147,207.625,-1.4325157,-28.75,daily,Acartia tonsa Mnemiopsis1 leidyi predation,6,1951
EMW001,1,7,1983,Acartia tonsa,Mnemiopsis1 leidyi,predation,spp,177.875,0.269528147,226.75,-1.4325157,-48.875,daily,Acartia tonsa Mnemiopsis1 leidyi predation,6,1951
EMW001,1,9,2002,Acartia tonsa,Mnemiopsis1 leidyi,predation,spp,169.25,0.269528147,106.958,-1.4325157,62.292,daily,Acartia tonsa Mnemiopsis1 leidyi predation,6,1951
HMK004,19,11,1982,Quercus spp.,Tortrix viridana,herbivory,spp,99.6054,0.981110714,102.261,0.929957143,-2.6556,daily,Quercus spp. Tortrix viridana herbivory,7,1982
HMK004,19,12,1983,Quercus spp.,Tortrix viridana,herbivory,spp,92.7749,0.981110714,96.6617,0.929957143,-3.8868,daily,Quercus spp. Tortrix viridana herbivory,7,1982
HMK004,19,13,1984,Quercus spp.,Tortrix viridana,herbivory,spp,100.0908,0.981110714,105.007,0.929957143,-4.9162,daily,Quercus spp. Tortrix viridana herbivory,7,1982
HMK004,19,14,1985,Quercus spp.,Tortrix viridana,herbivory,spp,107.67,0.981110714,109.914,0.929957143,-2.244,daily,Quercus spp. Tortrix viridana herbivory,7,1982
HMK004,19,15,1986,Quercus spp.,Tortrix viridana,herbivory,spp,92.4126,0.981110714,96.7122,0.929957143,-4.2996,daily,Quercus spp. Tortrix viridana herbivory,7,1982
HMK004,19,16,1987,Quercus spp.,Tortrix viridana,herbivory,spp,115.786,0.981110714,114.949,0.929957143,0.837,daily,Quercus spp. Tortrix viridana herbivory,7,1982
HMK004,19,17,1988,Quercus spp.,Tortrix viridana,herbivory,spp,95.9811,0.981110714,101.514,0.929957143,-5.5329,daily,Quercus spp. Tortrix viridana herbivory,7,1982
HMK006,22,18,1996,Dendroctonus valens,Corticeus parallelus,predation,spp,139.5,10.5,103,51,36.5,weekly,Dendroctonus valens Corticeus parallelus predation,2,1996
HMK006,22,19,1997,Dendroctonus valens,Corticeus parallelus,predation,spp,150,10.5,154,51,-4,weekly,Dendroctonus valens Corticeus parallelus predation,2,1996
HMK006,23,20,1996,Dendroctonus valens,Enoclerus nigripes,predation,spp,139.5,10.5,171.5,53,-32,weekly,Dendroctonus valens Enoclerus nigripes predation,2,1996
HMK006,23,21,1997,Dendroctonus valens,Enoclerus nigripes,predation,spp,150,10.5,224.5,53,-74.5,weekly,Dendroctonus valens Enoclerus nigripes predation,2,1996
